الجنسية,السنة,المنطقة,النوع,السكان
غير سعودي,2017,حائل,ذكر,176191
غير سعودي,2018,حائل,ذكر,163576
غير سعودي,2019,حائل,ذكر,158747
غير سعودي,2020,حائل,ذكر,172985
غير سعودي,2021,حائل,ذكر,160119
غير سعودي,2022,حائل,ذكر,178299
غير سعودي,2010,عسير,ذكر,300239
غير سعودي,2011,عسير,ذكر,334823
غير سعودي,2012,عسير,ذكر,367122
غير سعودي,2013,عسير,ذكر,409937
غير سعودي,2014,عسير,ذكر,421694
غير سعودي,2015,عسير,ذكر,469283
غير سعودي,2016,عسير,ذكر,504117
غير سعودي,2017,عسير,ذكر,493527
غير سعودي,2018,عسير,ذكر,455278
غير سعودي,2019,عسير,ذكر,439113
غير سعودي,2020,عسير,ذكر,475609
غير سعودي,2021,عسير,ذكر,437661
غير سعودي,2022,عسير,ذكر,484543
غير سعودي,2010,مكة المكرمة,ذكر,2196122
غير سعودي,2011,مكة المكرمة,ذكر,2401646
غير سعودي,2012,مكة المكرمة,ذكر,2582311
غير سعودي,2013,مكة المكرمة,ذكر,2827707
غير سعودي,2014,مكة المكرمة,ذكر,2852658
غير سعودي,2015,مكة المكرمة,ذكر,3113295
غير سعودي,2016,مكة المكرمة,ذكر,3279865
غير سعودي,2017,مكة المكرمة,ذكر,3149081
غير سعودي,2018,مكة المكرمة,ذكر,2849054
غير سعودي,2019,مكة المكرمة,ذكر,2694938
غير سعودي,2020,مكة المكرمة,ذكر,2862658
غير سعودي,2021,مكة المكرمة,ذكر,2583425
غير سعودي,2022,مكة المكرمة,ذكر,2805048
غير سعودي,2010,نجران,ذكر,91283
غير سعودي,2011,نجران,ذكر,102120
غير سعودي,2012,نجران,ذكر,112311
غير سعودي,2013,نجران,ذكر,125778
غير سعودي,2014,نجران,ذكر,129767
غير سعودي,2015,نجران,ذكر,144817
غير سعودي,2016,نجران,ذكر,156000
غير سعودي,2017,نجران,ذكر,153138
غير سعودي,2018,نجران,ذكر,141644
غير سعودي,2019,نجران,ذكر,136969
غير سعودي,2020,نجران,ذكر,148729
غير سعودي,2021,نجران,ذكر,137194
غير سعودي,2022,نجران,ذكر,152265
